,chembl_id,Predicted_Value
128,CHEMBL3707306,[np.float32(nan)]
129,CHEMBL1256818,[np.float32(6.182765)]
130,CHEMBL1201000,[np.float32(nan)]
131,CHEMBL3989754,[np.float32(nan)]
132,CHEMBL1632,[np.float32(nan)]
133,CHEMBL1201263,[np.float32(7.6727824)]
134,CHEMBL1201064,[np.float32(7.618797)]
135,CHEMBL3989824,[np.float32(7.231256)]
136,CHEMBL1201794,[np.float32(6.873376)]
137,CHEMBL1584,[np.float32(6.8133597)]
138,CHEMBL1257,[np.float32(6.6478205)]
139,CHEMBL1402684,[np.float32(6.562011)]
140,CHEMBL1724,[np.float32(6.5269165)]
141,CHEMBL2220442,[np.float32(6.47855)]
142,CHEMBL931,[np.float32(6.4672976)]
143,CHEMBL2105972,[np.float32(6.353984)]
144,CHEMBL2106915,[np.float32(6.3326263)]
145,CHEMBL1200828,[np.float32(6.3137865)]
146,CHEMBL201960,[np.float32(6.2930775)]
147,CHEMBL311498,[np.float32(6.1001782)]
148,CHEMBL3186993,[np.float32(6.0691905)]
149,CHEMBL1102,[np.float32(6.015276)]
150,CHEMBL27193,[np.float32(6.0071497)]
151,CHEMBL1201039,[np.float32(5.9459257)]
152,CHEMBL1190,[np.float32(5.937341)]
153,CHEMBL1200707,[np.float32(5.836239)]
154,CHEMBL488,[np.float32(5.82118)]
155,CHEMBL1200438,[np.float32(5.706755)]
156,CHEMBL1200714,[np.float32(5.6452036)]
157,CHEMBL3142541,[np.float32(5.5983377)]
158,CHEMBL1200550,[np.float32(5.4448047)]
159,CHEMBL2105527,[np.float32(5.387063)]
160,CHEMBL1546,[np.float32(5.065127)]
161,CHEMBL46917,[np.float32(5.013038)]
162,CHEMBL3544908,[np.float32(4.9356413)]
163,CHEMBL4303454,[np.float32(4.894666)]
164,CHEMBL1200896,[np.float32(4.867836)]
165,CHEMBL1200560,[np.float32(4.6974263)]
166,CHEMBL1200356,[np.float32(4.674143)]
167,CHEMBL1200715,[np.float32(4.622915)]
168,CHEMBL1200425,[np.float32(4.406461)]
169,CHEMBL282052,[np.float32(4.379422)]
170,CHEMBL1364551,[np.float32(4.316248)]
171,CHEMBL1909283,[np.float32(4.24418)]
172,CHEMBL1200483,[np.float32(3.9587576)]
173,CHEMBL1201056,[np.float32(3.7684295)]
174,CHEMBL1200949,[np.float32(2.4064586)]
175,CHEMBL3392049,[np.float32(nan)]
176,CHEMBL1201130,[np.float32(3.7467546)]
177,CHEMBL2079793,[np.float32(nan)]
178,CHEMBL4594395,[np.float32(nan)]
179,CHEMBL1201173,[np.float32(8.404257)]
180,CHEMBL1200975,[np.float32(7.5048285)]
181,CHEMBL1418176,[np.float32(7.475249)]
182,CHEMBL1201749,[np.float32(7.299278)]
183,CHEMBL1200449,[np.float32(7.1629086)]
184,CHEMBL1200973,[np.float32(6.855306)]
185,CHEMBL1200543,[np.float32(6.796416)]
186,CHEMBL1761,[np.float32(6.4176693)]
187,CHEMBL962,[np.float32(nan)]
188,CHEMBL1200624,[np.float32(6.737386)]
189,CHEMBL697,[np.float32(5.189147)]
190,CHEMBL971,[np.float32(nan)]
191,CHEMBL2105618,[np.float32(7.578403)]
192,CHEMBL267495,[np.float32(7.191857)]
193,CHEMBL1186610,[np.float32(6.754534)]
194,CHEMBL157138,[np.float32(6.332198)]
195,CHEMBL2062276,[np.float32(6.1927733)]
196,CHEMBL1200599,[np.float32(6.1789513)]
197,CHEMBL83063,[np.float32(6.1740146)]
198,CHEMBL1201250,[np.float32(6.1695514)]
199,CHEMBL1023,[np.float32(6.01561)]
200,CHEMBL1201294,[np.float32(5.966682)]
