ChEMBL ID,Frequency,Avg Predicted Value
CHEMBL1200503,0.3333333333333333,7.858423183298713
CHEMBL493,0.3333333333333333,7.803568543343999
CHEMBL1200722,0.3333333333333333,7.768776236306652
CHEMBL1668,0.3333333333333333,7.7602761854967035
CHEMBL4297066,0.3333333333333333,7.666730376701769
CHEMBL1200648,0.3333333333333333,7.57258400971997
CHEMBL772,0.3333333333333333,7.606602122737861
CHEMBL1737,0.3333333333333333,7.567336041841079
CHEMBL1201206,0.3333333333333333,7.424518907183561
CHEMBL2105891,0.3333333333333333,7.570655450712759
CHEMBL5315124,0.3333333333333333,7.406922186108017
CHEMBL3545309,0.3333333333333333,7.291976408593396
CHEMBL1200515,0.3333333333333333,7.273595102435472
CHEMBL1410,0.3333333333333333,7.130901497772657
CHEMBL1200498,0.3333333333333333,7.336458217883477
CHEMBL3989850,0.3333333333333333,7.103983451967111
CHEMBL1201244,0.3333333333333333,7.092952215339658
CHEMBL2110367,0.3333333333333333,7.176042438402463
CHEMBL5095050,0.3333333333333333,7.062708180241199
CHEMBL4298128,0.3333333333333333,7.013607377811784
CHEMBL3989514,0.32,7.0887747859164385
CHEMBL1200353,0.3133333333333333,7.000771105962653
CHEMBL2040682,0.3133333333333333,6.954311689468946
CHEMBL1676,0.29333333333333333,7.005789532290337
CHEMBL1615372,0.2733333333333333,6.936534116959944
CHEMBL1201172,0.26666666666666666,6.936730328577201
CHEMBL3989933,0.2533333333333333,6.932458977480533
CHEMBL2364635,0.24666666666666667,6.924616063147583
CHEMBL3833368,0.21999999999999997,6.9210738989794915
CHEMBL3301622,0.20666666666666667,6.886362955037333
