ChEMBL ID,Frequency,Avg Predicted Value
CHEMBL1201174,1.0,7.608019155290329
CHEMBL5315049,1.0,7.513760295461277
CHEMBL1200588,0.96,7.478496654781677
CHEMBL1779710,0.8799999999999999,7.457149776386765
CHEMBL535650,0.8400000000000001,7.455809946116003
CHEMBL3989551,0.78,7.436815981985443
CHEMBL1422,0.66,7.416972368881023
CHEMBL1587,0.66,7.418763961608449
CHEMBL3991065,0.32,7.339404767032027
CHEMBL1753,0.3,7.347947023956689
